,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Siberia,Siberia,LOC,0.09615385,1.28205128,en,1.30000000,4286755-1,11961345,L,55.01565000,82.96276000,ASIA,Russia,WSB
the Red Planet,the Red Planet,LOC,0.10576923,0.60683761,en,1.30000000,,0,,,,,,
the Sousa River,the Sousa River,LOC,-0.55448718,0.69337607,en,1.30000000,,0,,,,,,
the Pyramids of Giza,the Pyramids of Giza,LOC,0.00000000,0.00000000,en,1.30000000,,0,,,,,,
Tejo,Tejo,GPE,0.00000000,0.38461538,en,1.30000000,,0,,,,,,
the Arctic Ocean,the Arctic Ocean,LOC,0.07692308,0.30769231,en,1.30000000,,0,,,,,,
Singapore,Singapore,GPE,0.17307692,0.38461538,en,1.30000000,4055089-8,1880252,P,1.28967000,103.85007000,ASIA,Singapore,SEA
FC Porto,FC Porto,GPE,-0.16666667,0.58119658,en,1.30000000,,11821824,S,41.25717000,-8.67796000,EUROPE-AFRICA,Portugal,MED
Santa Apolónia,Santa Apolónia,GPE,0.00641026,0.26923077,en,1.30000000,,8583545,A,19.24615000,-98.31268000,CENTRAL-AMERICA,Mexico,SCA
Mondego,Mondego,GPE,-0.03846154,0.15384615,en,1.30000000,4235261-7,2732680,P,40.60478000,-7.30968000,EUROPE-AFRICA,Portugal,MED
Albufeira,Albufeira,GPE,0.41083916,0.55856643,en,1.30000000,4126599-3,8010512,A,37.08341000,-8.26139000,EUROPE-AFRICA,Portugal,MED
Viana,Viana,GPE,0.14517196,0.72189153,en,1.20000000,4247154-0,2732772,A,41.89649000,-8.50630000,EUROPE-AFRICA,Portugal,MED
Beijing,Beijing,GPE,0.18181818,0.31818182,en,1.10000000,4075971-4,1816670,P,39.90750000,116.39723000,ASIA,China,EAS
Cruzeiro,Cruzeiro,GPE,-0.15151515,0.51515152,en,1.10000000,7819305-9,6300618,S,-7.59991000,-72.76949000,SOUTH-AMERICA,Brazil,NWS
Utah,Utah,GPE,0.00000000,0.00000000,en,1.00000000,4062214-9,5549030,A,39.25024000,-111.75103000,NORTH-AMERICA,United States,WNA
The South Region,The South Region,LOC,-0.01666667,0.79166667,en,1.00000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
Quartel,Quartel,GPE,0.00000000,0.00000000,en,1.00000000,,6321705,A,-19.28715000,-45.58434000,SOUTH-AMERICA,Brazil,NES
marks,marks,GPE,0.00000000,1.00000000,en,1.00000000,4326686-1,529073,P,51.71018000,46.74553000,EUROPE,Russia,EEU
Philadelphia,Philadelphia,GPE,0.00000000,0.00000000,en,1.00000000,4103331-0,4560349,P,39.95238000,-75.16362000,NORTH-AMERICA,United States,ENA
Paraguayan,Paraguayan,GPE,0.13636364,0.45454545,en,1.00000000,,3439121,L,-23.00000000,-60.00000000,SOUTH-AMERICA,Paraguay,SES
Uzbekistan,Uzbekistan,GPE,0.00000000,0.00000000,en,1.00000000,4062199-6,1512440,A,41.66667000,63.83333000,ASIA,Uzbekistan,WCA
Góis,Góis,GPE,0.05000000,0.20000000,en,1.00000000,,2738974,P,40.15735000,-8.11007000,EUROPE-AFRICA,Portugal,MED
Amazon,Amazon,LOC,-0.12500000,0.54166667,en,1.00000000,,12217728,L,-7.75193000,-63.03794000,SOUTH-AMERICA,Brazil,NSA
AR,AR,GPE,0.00000000,0.00000000,en,1.00000000,,289888,P,25.29194000,51.42444000,ASIA,Qatar,ARP
Caracas,Caracas,GPE,0.43333333,0.73333333,en,1.00000000,4009457-1,3646738,P,10.48801000,-66.87919000,SOUTH-AMERICA,Venezuela,NSA
The United Kingdom,The United Kingdom,GPE,0.34814815,0.67962963,en,1.00000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Türkiye,Türkiye,GPE,0.32500000,0.50000000,en,1.00000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Esplanade Park,Esplanade Park,LOC,-0.40000000,0.40000000,en,1.00000000,,6227740,L,-40.36825000,175.61021000,OCEANIA,New Zealand,NZ
Central West,Central West,LOC,-0.04166667,0.25000000,en,1.00000000,,12110879,L,42.74936000,-96.39971000,NORTH-AMERICA,United States,CNA
Marinha Grande,Marinha Grande,GPE,-0.28181818,0.56060606,en,1.00000000,4605345-1,8010550,A,39.77681000,-8.95005000,EUROPE-AFRICA,Portugal,MED
WMO,WMO,LOC,-0.12500000,0.39583333,en,1.00000000,,5877988,S,64.68795000,-163.40905000,NORTH-AMERICA,United States,NWN
cachupa,cachupa,GPE,0.00000000,0.00000000,en,1.00000000,,6674894,P,-11.66311000,-75.08640000,SOUTH-AMERICA,Peru,NWS
the Colorado River,the Colorado River,LOC,0.13636364,0.45454545,en,1.00000000,,4338480,H,31.01935000,-91.74790000,NORTH-AMERICA,United States,CNA
the Schist Village,the Schist Village,LOC,0.00000000,1.00000000,en,1.00000000,,0,,,,,,
Lousã mountain,Lousã mountain,LOC,0.00000000,1.00000000,en,1.00000000,,12188758,T,40.08968000,-8.17917000,EUROPE-AFRICA,Portugal,MED
Center-West,Center-West,LOC,-0.34166667,0.62500000,en,1.00000000,,5024423,P,44.02802000,-92.85464000,NORTH-AMERICA,United States,CNA
Pragmatismo Político,Pragmatismo Político,GPE,0.00000000,0.36666667,en,1.00000000,,0,,,,,,
Fort Lauderdale,Fort Lauderdale,GPE,-0.40000000,0.40000000,en,1.00000000,4205502-7,4155966,P,26.12231000,-80.14338000,NORTH-AMERICA,United States,ENA
Wuthering Heights',Wuthering Heights',GPE,0.50000000,0.50000000,en,1.00000000,,4743259,L,30.10577000,-94.14101000,NORTH-AMERICA,United States,CNA
Lajes,Lajes,GPE,0.00000000,0.00000000,en,1.00000000,,6299683,S,38.76184000,-27.09080000,ATLANTIC,Portugal,NAO
Santa Cruz,Santa Cruz,GPE,0.00000000,0.00000000,en,1.00000000,,3904906,P,-17.78629000,-63.18117000,SOUTH-AMERICA,Bolivia,SAM
Americana,Americana,GPE,-0.10000000,0.25000000,en,1.00000000,,3472343,P,-22.73917000,-47.33139000,SOUTH-AMERICA,Brazil,SES
